a,une
unusually,exceptionnellement
unwilling,peu disposé
unwillingly,contre son gré
up,en haut
upon,sur
upper,plus haut
upset,dérangé
upset,dérangé
upsetting,bouleversant
upside down,à l'envers
upstairs,en haut
upward,ascendant
upwards,vers le haut
urban,Urbain
urge,exhorter
urgent,urgent
us,nous
use,utilisation
use,utilisation
used 1,utilisé 1
used 2,utilisé 2
used to,habitué
useful,utile
useless,inutile
user,utilisateur
use up,épuiser
usual,habituel
usually,généralement
vacation,vacances
valid,valide
valley,vallée
valuable,de valeur
value,valeur
van,van
variation,variation
varied,varié
variety,variété
various,divers
vary,varier
vast,vaste
vegetable,légume
vehicle,véhicule
venture,entreprise
version,version
vertical,verticale
very,très
via,via
victim,victime
victory,la victoire
video,vidéo
view,vue
village,village
violence,la violence
violent,violent
violently,violemment
virtually,virtuellement
virus,virus
visible,visible
vision,vision
visit,visite
visitor,visiteur
vital,vital
vocabulary,vocabulaire
voice,voix
volume,le volume
vote,voter
wage,salaire
waist,taille
wait,attendre
waiter,serveur
wake,réveiller
walk,marche
walking,en marchant
walk out,Se promener
walk up,monter
wall,mur
wallet,portefeuille
wander,errer
want,vouloir
war,guerre
warm,chaud
warmth,chaleur
warm up,réchauffer
warn,prévenir
warning,avertissement
wash,lavage
wash away,laver
washing,la lessive
wash off,laver
wash out,laver
wash up,laver
waste,gaspillage
watch,regarder
watch out,Fais attention
watch out for,Attention à
water,l'eau
wave,vague
way,façon
we,nous
weak,faible
weakness,la faiblesse
wealth,richesse
weapon,arme
wear,porter
wear away,s'effacer
wear off,enlever
wear out,épuisé
weather,Météo
web,la toile
website,site Internet
wedding,mariage
Wednesday,Mercredi
week,la semaine
weekend,weekend
weekly,hebdomadaire
weigh,peser
weight,poids
welcome,Bienvenue
well,bien
well known,bien connu
west,Ouest
western,occidental
wet,humide
what,quelle
whatever,peu importe
wheel,roue
when,quand
whenever,n'importe quand
where,où
whereas,tandis que
wherever,partout où
whether,qu'il s'agisse
which,lequel
while,tandis que
whisper,chuchotement
whistle,sifflet
white,blanc
who,OMS
whoever,quiconque
whole,entier
whom,qui
whose,dont
why,Pourquoi
wide,large
widely,largement
width,largeur
wife,femme
wild,sauvage
wildly,d'une manière extravagante
will,volonté
willing,prêt
willingly,volontiers
willingness,volonté
win,gagner
wind 1,enrouler 1
wind 2,enrouler 2
window,la fenêtre
wine,du vin
wing,aile
winner,gagnant
winning,gagnant
winter,hiver
wire,câble
wise,sage
wish,souhait
with,avec
withdraw,se désister
within,dans
without,sans pour autant
witness,témoin
woman,femme
wonder,merveille
wonderful,formidable
wood,bois
wooden,en bois
wool,la laine
word,mot
work,travail
worker,ouvrier
working,travail
work out,faire des exercices
world,monde
worried,préoccupé
worry,inquiéter
worrying,inquiétant
worse,pire
worship,culte
worst,pire
worth,vaut
would,aurait
wound 1,1 blessure
wounded,blessés
wrap,emballage
wrapping,emballage
wrist,poignet
write,écrire
write back,répondre
write down,écrire
writer,écrivain
writing,l'écriture
written,écrit
wrong,faux
wrongly,à tort
yard,Cour
yawn,bâillement
yeah,Ouais
year,an
yellow,Jaune
yes,Oui
yesterday,hier
yet,encore
you,tu
young,Jeune
your,votre
yours,le tiens
yourself,toi même
youth,jeunesse
zero,zéro
zone,zone
